Source	Target	Type	Label	Wheigt
/BD_164	/BD_162	UnDirected	a-occident	1
/BD_164	/BD_163	UnDirected	a-occident	1
/BD_164	/BD_165	UnDirected	a-orient	1
/BD_164	/R_9	UnDirected	a-circio	1
/BD_164	/RN_00124	UnDirected	a-meridie	1
/BD_165	/BD_164	UnDirected	a-occident	1
/BD_165	/BD_451	UnDirected	a-orient	1
/BD_165	/BND_852	UnDirected	a-meridie	1
/BD_165	/R_9	UnDirected	in	1
/BD_165	/R_9	UnDirected	a-circio	1
/BD_165	/RN_00124	UnDirected	a-occident	1
/BD_166	/BD_167	UnDirected	a-occident	1
/BD_166	/BD_168	UnDirected	a-orient	1
/BD_166	/BD_175	UnDirected	a-meridie	1
/BD_166	/BD_451	UnDirected	a-circio	1
/BD_166	/R_9	UnDirected	in	1
/BD_167	/BD_168	UnDirected	a-meridie	1
/BD_167	/BD_452	UnDirected	a-occident	1
/BD_167	/R_8	UnDirected	in compito-sive-cantono	1
/BD_167	/R_8	UnDirected	a-orient	1
/BD_167	/R_8	UnDirected	a-orient	1
/BD_167	/R_9	UnDirected	in compito-sive-cantono	1
/BD_167	/R_9	UnDirected	a-circio	1
/BD_167	/R_9	UnDirected	a-circio	1
/BD_168	/BD_166	UnDirected	a-occident	1
/BD_168	/BD_167	UnDirected	a-circio	1
/BD_168	/BD_169	UnDirected	a-meridie	1
/BD_168	/R_9	UnDirected	a-orient	1
/BD_169	/BD_168	UnDirected	a-circio	1
/BD_169	/BD_170	UnDirected	a-meridie	1
/BD_169	/BD_173	UnDirected	a-occident	1
/BD_169	/R_9	UnDirected	a-orient	1
/BD_17	/BD_16	UnDirected	a-occident	1
/BD_17	/BND_805	UnDirected	a-occident	1
/BD_17	/E_154	UnDirected	a-circio	1
/BD_17	/R_54	UnDirected	a-meridie	1
/BD_170	/BD_169	UnDirected	a-circio	1
/BD_170	/BD_171	UnDirected	a-meridie	1
/BD_170	/BD_172	UnDirected	a-occident	1
/BD_170	/R_8	UnDirected	a-occident	1
/BD_170	/R_9	UnDirected	a-orient	1
/BD_171	/BD_170	UnDirected	a-circio	1
/BD_171	/BD_172	UnDirected	a-circio	1
/BD_171	/R_8	UnDirected	in compito-sive-cantono	1
/BD_171	/R_8	UnDirected	a-meridie	1
/BD_171	/R_97	UnDirected	in compito-sive-cantono	1
/BD_171	/R_97	UnDirected	a-occident	1
/BD_172	/BD_170	UnDirected	a-orient	1
/BD_172	/BD_171	UnDirected	a-meridie	1
/BD_172	/R_97	UnDirected	a-occident	1
/BD_172	/R_97	UnDirected	a-circio	1
/BD_173	/BD_168	UnDirected	a-circio	1
/BD_173	/BD_169	UnDirected	a-orient	1
/BD_173	/BD_174	UnDirected	a-occident	1
/BD_173	/R_97	UnDirected	in	1
/BD_173	/R_97	UnDirected	a-meridie	1
/BD_174	/BD_166	UnDirected	a-circio	1
/BD_174	/BD_173	UnDirected	a-orient	1
/BD_174	/BD_175	UnDirected	a-occident	1
/BD_174	/R_97	UnDirected	a-meridie	1
/BD_175	/BD_1144	UnDirected	a-occident	1
/BD_175	/BD_174	UnDirected	a-orient	1
/BD_175	/BD_174	UnDirected	a-circio	1
/BD_175	/R_97	UnDirected	a-meridie	1
/BD_176	/BD_177	UnDirected	a-orient	1
/BD_176	/R_8	UnDirected	in	1
/BD_176	/R_8	UnDirected	a-occident	1
/BD_176	/RN_00123	UnDirected	a-meridie	1
/BD_176	/RN_00123	UnDirected	a-circio	1
/BD_177	/BD_176	UnDirected	a-occident	1
/BD_177	/BND_853	UnDirected	a-orient	1
/BD_177	/RN_00123	UnDirected	a-circio	1
/BD_177	/RN_00123	UnDirected	a-meridie	1
/BD_178	/BD_459	UnDirected	a-occident	1
/BD_178	/BND_854	UnDirected	a-orient	1
/BD_178	/BND_855	UnDirected	a-circio	1
/BD_178	/R_11	UnDirected	in	1
/BD_178	/R_11	UnDirected	a-meridie	1
/BD_179	/BD_180	UnDirected	a-occident	1
/BD_179	/BD_460	UnDirected	a-meridie	1
/BD_179	/BD_464	UnDirected	a-circio	1
/BD_179	/BND_855	UnDirected	a-orient	1
/BD_18	/BD_19	UnDirected	a-orient	1
/BD_18	/BD_40	UnDirected	a-meridie	1
/BD_18	/BND_806	UnDirected	a-occident	1
/BD_18	/R_16	UnDirected	a-meridie	1
/BD_18	/R_55	UnDirected	a-circio	1
/BD_180	/BD_179	UnDirected	a-orient	1
/BD_180	/BD_461	UnDirected	a-orient	1
/BD_180	/BD_464	UnDirected	a-circio	1
/BD_180	/BND_856	UnDirected	a-occident	1
/BD_180	/R_11	UnDirected	a-meridie	1
/BD_181	/BD_180	UnDirected	ante	1
/BD_181	/BD_463	UnDirected	ab-una-part	1
/BD_181	/BND_857	UnDirected	ab-una-part	1
