idBien;idIndividu;ordreSuccession;date1reconnaissanceMin;date2reconnaissanceMax;sureteDate
BD_1083;541;1;1365;NULL;S
BD_1084;533;1;1366;NULL;S
BD_1085;449;1;1363;NULL;S
BD_1086;341;1;1363;NULL;S
BD_1087;341;1;1366;NULL;S
BD_1088;492;1;1363;NULL;S
BD_1089;433;1;1363;NULL;S
BD_1090;488;1;1363;NULL;S
BD_1091;516;1;1365;NULL;S
BD_1093;516;1;1365;NULL;S
BD_1094;488;1;1363;NULL;S
BD_1095;489;1;1364;NULL;S
BD_1096;564;1;1376;NULL;S
BD_1097;421;1;1366;NULL;S
BD_1097;463;1;1366;NULL;S
BD_1098;570;1;1365;NULL;S
BD_1098;581;1;1365;NULL;S
BD_1098;579;1;1365;NULL;S
BD_1098;580;1;1365;NULL;S
BD_1099;467;1;1364;NULL;S
BD_1100;408;1;1367;NULL;S
BD_1101;553;1;1365;NULL;S
BD_1101;582;1;1365;NULL;S
BD_1102;464;1;1364;NULL;S
BD_1103;473;1;1364;NULL;S
BD_1104;485;1;1369;NULL;S
BD_1105;573;1;1363;NULL;S
BD_1105;407;1;1363;NULL;S
BD_1106;510;1;1354;NULL;S
BD_1107;438;1;1366;NULL;S
BD_1108;518;1;1367;NULL;S
BD_1109;583;1;1363;NULL;S
BD_1109;555;1;1363;NULL;S
BD_1110;422;1;1363;NULL;S
BD_1111;412;1;1372;NULL;S
BD_1112;505;1;1373;NULL;S
BD_1113;507;1;1363;NULL;S
BD_1114;473;1;1364;NULL;S
BD_1115;500;1;1384;NULL;S
BD_1116;468;1;1364;NULL;S
BD_1117;419;1;1367;NULL;S
BD_1118;514;1;1367;NULL;S
BD_1119;499;1;1364;NULL;S
BD_1120;404;1;1363;NULL;S
BD_1121;569;1;1363;NULL;S
BD_1122;231;1;1363;NULL;S
BD_1123;440;1;1364;NULL;S
BD_1124;420;1;1363;NULL;S
BD_1125;539;1;1364;NULL;S
BD_1126;558;1;1364;NULL;S
BD_1127;568;1;1364;NULL;S
BD_1128;522;1;1363;NULL;S
BD_1129;430;1;1363;NULL;S
BD_1130;446;1;1364;NULL;S
BD_1131;472;1;1364;NULL;S
BD_1132;220;1;1364;NULL;S
BD_1133;548;1;1365;NULL;S
BD_1134;425;1;1365;NULL;S
BD_1134;451;1;1365;NULL;S
BD_1135;496;1;1368;NULL;S
BD_1136;69;1;1363;NULL;S
BD_1137;530;1;1363;NULL;S
BD_1138;525;1;1363;NULL;S
BD_1139;525;1;1363;NULL;S
BD_1140;587;1;1363;NULL;S
BD_1140;461;1;1363;NULL;S
BD_1141;526;1;1364;NULL;S
BD_1142;482;1;1385;NULL;S
BD_1143;454;1;1363;NULL;S
