"idLienIndividu","idIndividu1","idIndividu2","descriptionLien","typeLien"
1145,1597,2368,"heritier","LIFAM"
1156,2433,2434,"heritier","LIFAM"
1158,1933,507,"heritier","LIFAM"
1161,2424,2425,"heritier","LIFAM"
1162,1914,2438,"heritier","LIFAM"
1163,1915,2439,"heritier","LIFAM"
1164,1647,2440,"heritier","LIFAM"
1165,1916,2441,"heritier","LIFAM"
1166,1918,2442,"heritier","LIFAM"
1167,1919,2443,"heritier","LIFAM"
1168,1920,1466,"heritier","LIFAM"
1169,1921,2444,"heritier","LIFAM"
1170,1922,2445,"heritier","LIFAM"
1171,1923,1014,"heritier","LIFAM"
1172,1648,2446,"heritier","LIFAM"
1173,1924,2447,"heritier","LIFAM"
1174,1649,1317,"heritier","LIFAM"
1175,1925,2448,"heritier","LIFAM"
1176,1926,2449,"heritier","LIFAM"
1177,1650,2450,"heritier","LIFAM"
1178,1927,2451,"heritier","LIFAM"
1179,1928,1909,"heritier","LIFAM"
1180,1929,2452,"heritier","LIFAM"
1422,1557,1080,"huissier","LITRA"
1138,2113,1585,"petite fille niece","LIFAM"
839,1563,585,"epouse","LIFAM"
1150,2428,2427,"epouse dorenavant","LIFAM"
1414,1121,1080,"palefrenier","LITRA"
1115,1769,2421,"veuve","LIFAM"
1939,9162,684,"veuve","LIFAM"
1140,1821,2472,"veuve","LIFAM"
1146,1838,2369,"veuve","LIFAM"
1153,2431,52,"veuve","LIFAM"
1160,1587,2437,"veuve","LIFAM"
1940,9164,9165,"veuve","LIFAM"
1942,9171,2925,"veuve","LIFAM"
545,1065,1063,"veuve","LIFAM"
1418,1145,1080,"portier de la premiere porte du palais","LITRA"
843,2032,2276,"epouse","LIFAM"
845,1755,1741,"epouse","LIFAM"
846,2112,2160,"epouse","LIFAM"
847,2232,2278,"epouse","LIFAM"
1922,9085,9086,"epouse","LIFAM"
860,1600,456,"epouse","LIFAM"
917,2118,2195,"epouse","LIFAM"
872,2285,2286,"epouse","LIFAM"
873,1565,2287,"epouse","LIFAM"
875,2289,2070,"epouse","LIFAM"
876,1620,2290,"epouse","LIFAM"
879,2019,2018,"epouse","LIFAM"
880,1051,2292,"epouse","LIFAM"
881,1576,2291,"epouse","LIFAM"
884,1568,1730,"epouse","LIFAM"
886,2119,2263,"epouse","LIFAM"
889,2297,2296,"epouse","LIFAM"
890,1663,272,"epouse","LIFAM"
1198,1495,103,"epouse","LIFAM"
1114,2420,2419,"epouse","LIFAM"
1118,2475,2476,"epouse","LIFAM"
1122,2480,703,"epouse","LIFAM"
1124,1511,2481,"epouse","LIFAM"
1125,1736,2482,"epouse","LIFAM"
1126,2483,2484,"epouse","LIFAM"
1127,1758,317,"epouse","LIFAM"
1211,2495,737,"chapelain","LITRA"
601,131,1080,"chapelain commensual","LITRA"
17,405,28,"gubernatrix","LIFAM"
18,405,29,"gubernatrix","LIFAM"
19,405,30,"gubernatrix","LIFAM"
1212,2495,113,"acheteur","LITRA"
1426,1794,1080,"sergent d armes","LITRA"
1427,1954,1080,"sergent d armes","LITRA"
1428,1966,1080,"sergent d armes","LITRA"
1429,1984,1080,"sergent d armes","LITRA"
1430,2040,1080,"sergent d armes","LITRA"
58,704,247,"soeur","LIFAM"
132,433,996,"soeur","LIFAM"
23,405,28,"tuteur","LIFAM"
24,405,29,"tuteur","LIFAM"
25,405,30,"tuteur","LIFAM"
891,1567,2298,"epouse","LIFAM"
892,2231,2299,"epouse","LIFAM"
893,2123,1716,"epouse","LIFAM"
894,1619,1714,"epouse","LIFAM"
896,1580,2301,"epouse","LIFAM"
898,2213,2063,"epouse","LIFAM"
899,1754,1722,"epouse","LIFAM"
912,2021,103,"epouse","LIFAM"
902,1762,2305,"epouse","LIFAM"
903,2265,2150,"epouse","LIFAM"
904,1739,2306,"epouse","LIFAM"
905,1733,1598,"epouse","LIFAM"
906,2234,2221,"epouse","LIFAM"
907,2235,2193,"epouse","LIFAM"
908,1740,2307,"epouse","LIFAM"
910,2309,2191,"epouse","LIFAM"
911,2180,2246,"epouse","LIFAM"
913,1542,2310,"epouse","LIFAM"
916,1861,1729,"epouse","LIFAM"
922,2117,2069,"epouse","LIFAM"
926,2313,2314,"epouse","LIFAM"
927,1589,1706,"epouse","LIFAM"
2,201,202,"frere","LIFAM"
20,405,28,"mere","LIFAM"
116,726,997,"cousin germain","LIFAM"
6,689,707,"epouse","LIFAM"
60,881,1043,"epouse","LIFAM"
1431,2055,1080,"courrier","LITRA"
1904,7042,7548,"negociant charge d affaires","LITRA"
52,879,1072,"familier","LIFAM"
7,7,1019,"fille","LIFAM"
56,1048,894,"fille","LIFAM"
67,189,936,"fille","LIFAM"
79,218,1059,"fille","LIFAM"
1,201,1052,"fils","LIFAM"
12,3,877,"fils","LIFAM"
29,165,998,"fils","LIFAM"
31,165,1046,"fils","LIFAM"
33,693,154,"fils","LIFAM"
34,693,1076,"fils","LIFAM"
38,215,1047,"fils","LIFAM"
45,179,1061,"fils","LIFAM"
51,238,426,"fils","LIFAM"
54,880,52,"fils","LIFAM"
61,11,1075,"fils","LIFAM"
64,167,1028,"fils","LIFAM"
76,333,190,"fils","LIFAM"
92,331,1033,"fils","LIFAM"
42,286,287,"frere","LIFAM"
46,179,177,"frere","LIFAM"
48,698,113,"frere","LIFAM"
62,11,279,"frere","LIFAM"
72,706,109,"frere","LIFAM"
94,886,739,"frere","LIFAM"
117,727,341,"frere","LIFAM"
127,28,29,"frere","LIFAM"
128,28,30,"frere","LIFAM"
1425,1783,1080,"boulanger","LITRA"
3,201,1052,"heritier","LIFAM"
8,7,1019,"heritier","LIFAM"
13,3,877,"heritier","LIFAM"
30,165,998,"heritier","LIFAM"
35,693,154,"heritier","LIFAM"
36,693,1076,"heritier","LIFAM"
39,215,1047,"heritier","LIFAM"
47,179,1061,"heritier","LIFAM"
55,1048,894,"heritier","LIFAM"
63,11,1075,"heritier","LIFAM"
65,167,1028,"heritier","LIFAM"
