idConfront,localisation,idBien1,idBien2,idInvariant,idQuartierParoisse,localisationTN
195,a-meridie,78,820,NULL,NULL,confronte au sud avec
196,a-circio,78,821,NULL,NULL,confronte au nord avec
197,a-orient,78,822,NULL,NULL,confronte a l est avec
1399,sive ab-una-part,78,NULL,69,NULL,confronte peut-etre avec
1437,in,78,NULL,80,NULL,dans
1438,a-orient,78,NULL,80,NULL,confronte a l est avec
1439,a-circio,78,NULL,80,NULL,confronte au nord avec
5549,in,78,NULL,NULL,6,a l interieur de
198,ab-una-part,79,823,NULL,NULL,confronte avec
199,ab-una-part,79,824,NULL,NULL,confronte avec
200,ab-una-part,79,825,NULL,NULL,confronte avec
201,ab-una-part,79,826,NULL,NULL,confronte avec
1529,in,79,NULL,1129,NULL,dans
5550,in,79,NULL,NULL,6,a l interieur de
202,a-circio,80,827,NULL,NULL,confronte au nord avec
203,a-meridie,80,828,NULL,NULL,confronte au sud avec
204,a-meridie,80,829,NULL,NULL,confronte au sud avec
1293,prope,80,NULL,16,NULL,a cote de
1326,in,80,NULL,17,NULL,dans
1327,a-occident,80,NULL,17,NULL,confronte a l ouest avec
1440,prope,80,NULL,80,NULL,a cote de
5551,in,80,NULL,NULL,6,a l interieur de
5792,ante,80,NULL,16,NULL,devant
205,a-orient,81,1014,NULL,NULL,confronte a l est avec
206,a-circio,81,1012,NULL,NULL,confronte au nord avec
207,a-occident,81,82,NULL,NULL,confronte a l ouest avec
1026,a-orient,81,NULL,146,NULL,confronte a l est avec
1063,a-occident,81,NULL,161,NULL,confronte a l ouest avec
1530,a-meridie,81,NULL,1130,NULL,confronte au sud avec
5552,in,81,NULL,NULL,2,a l interieur de
5797,a-occident,81,NULL,32,NULL,confronte a l ouest avec
208,a-meridie,82,81,NULL,NULL,confronte au sud avec
209,a-orient,82,81,NULL,NULL,confronte a l est avec
210,a-circio,82,1012,NULL,NULL,confronte au nord avec
1064,a-occident,82,NULL,161,NULL,confronte a l ouest avec
5553,in,82,NULL,NULL,2,a l interieur de
211,a-occident,83,84,NULL,NULL,confronte a l ouest avec
212,a-orient,83,116,NULL,NULL,confronte a l est avec
213,a-meridie,83,84,NULL,NULL,confronte au sud avec
1263,in,83,NULL,14,NULL,dans
1279,a-circio,83,NULL,15,NULL,confronte au nord avec
1280,a-occident,83,NULL,15,NULL,confronte a l ouest avec
5554,in,83,NULL,NULL,7,a l interieur de
214,a-circio,84,83,NULL,NULL,confronte au nord avec
215,a-orient,84,83,NULL,NULL,confronte a l est avec
216,a-meridie,84,85,NULL,NULL,confronte au sud avec
1264,in,84,NULL,14,NULL,dans
1265,a-occident,84,NULL,14,NULL,confronte a l ouest avec
1281,a-circio,84,NULL,15,NULL,confronte au nord avec
5555,in,84,NULL,NULL,7,a l interieur de
217,a-circio,85,84,NULL,NULL,confronte au nord avec
218,a-orient,85,90,NULL,NULL,confronte a l est avec
219,a-meridie,85,86,NULL,NULL,confronte au sud avec
1266,a-occident,85,NULL,14,NULL,confronte a l ouest avec
5556,in,85,NULL,NULL,7,a l interieur de
220,a-circio,86,85,NULL,NULL,confronte au nord avec
221,a-orient,86,90,NULL,NULL,confronte a l est avec
222,a-meridie,86,87,NULL,NULL,confronte au sud avec
1267,a-occident,86,NULL,14,NULL,confronte a l ouest avec
1268,a-meridie,86,NULL,14,NULL,confronte au sud avec
5557,in,86,NULL,NULL,7,a l interieur de
223,a-circio,87,86,NULL,NULL,confronte au nord avec
224,a-orient,87,90,NULL,NULL,confronte a l est avec
225,a-meridie,87,88,NULL,NULL,confronte au sud avec
1269,a-occident,87,NULL,14,NULL,confronte a l ouest avec
5558,in,87,NULL,NULL,7,a l interieur de
226,a-circio,88,87,NULL,NULL,confronte au nord avec
