Source;Target;Type;Label;typeLien;Wheigt
475;1160;;uxor;LienFamille;1
476;1222;;uxor;LienFamille;1
477;1163;;heres;LienFamille;1
477;586;;tutor;LienFamille;1
477;1163;;uxor;LienFamille;1
478;1140;;filia;LienFamille;1
479;81;;conjuges;LienFamille;1
479;81;;uxor;LienFamille;1
480;104;;uxor;LienFamille;1
492;993;;filius;LienFamille;1
492;993;;heres;LienFamille;1
500;957;;heres;LienFamille;1
500;131;;frater;LienFamille;1
506;1271;;filius;LienFamille;1
508;1111;;filia;LienFamille;1
510;1182;;filia;LienFamille;1
513;1221;;uxor;LienFamille;1
513;1221;;uxor;LienFamille;1
514;1266;;uxor;LienFamille;1
515;1155;;uxor;LienFamille;1
517;1278;;relicta;LienFamille;1
518;426;;uxor;LienFamille;1
519;1153;;uxor;LienFamille;1
520;490;;uxor;LienFamille;1
521;254;;tutor;LienFamille;1
521;254;;tutor;LienFamille;1
521;1068;;uxor;LienFamille;1
523;1143;;uxor;LienFamille;1
524;1282;;filia;LienFamille;1
524;1156;;relicta;LienFamille;1
525;1279;;uxor;LienFamille;1
526;1268;;frater;LienFamille;1
527;576;;tutor;LienFamille;1
553;582;;tutor;LienFamille;1
557;403;;capelanus;LienProfessionel;1
558;534;;relicta;LienFamille;1
561;571;;uxor;LienFamille;1
563;1118;;uxor;LienFamille;1
564;1284;;heres;LienFamille;1
564;1284;;filia;LienFamille;1
568;1024;;filia;LienFamille;1
568;2840;;uxor;LienFamille;1
568;1024;;heres;LienFamille;1
570;1290;;uxor;LienFamille;1
570;581;;tutor;LienFamille;1
570;580;;tutor;LienFamille;1
570;579;;tutor;LienFamille;1
572;554;;filiastre;LienFamille;1
576;1127;;heres;LienFamille;1
576;1127;;filius;LienFamille;1
577;664;;uxor;LienFamille;1
579;1290;;heres;LienFamille;1
579;570;;filius;LienFamille;1
579;1290;;filius;LienFamille;1
580;1290;;filius;LienFamille;1
580;1290;;heres;LienFamille;1
580;570;;filius;LienFamille;1
581;570;;filius;LienFamille;1
581;1290;;heres;LienFamille;1
581;1290;;filius;LienFamille;1
582;1176;;filia;LienFamille;1
583;2730;;filia;LienFamille;1
583;555;;uxor;LienFamille;1
586;477;;filius;LienFamille;1
586;1163;;filius;LienFamille;1
587;616;;frater;LienFamille;1
597;1303;;uxor;LienFamille;1
610;1365;;relicta;LienFamille;1
616;587;;frater;LienFamille;1
618;1368;;uxor;LienFamille;1
622;1323;;filius;LienFamille;1
622;623;;frater;LienFamille;1
623;1323;;filius;LienFamille;1
624;543;;filius;LienFamille;1
627;628;;frater;LienFamille;1
635;1080;;scriptor penitenciers;LienProfessionel;1
637;472;;uxor;LienFamille;1
637;1380;;uxor;LienFamille;1
647;1383;;marit us filia;LienFamille;1
652;1388;;relicta;LienFamille;1
657;646;;filius;LienFamille;1
666;1384;;relicta;LienFamille;1
667;1080;;hostiarius prime porte palaci;LienProfessionel;1
670;1385;;uxor;LienFamille;1
684;913;;heres;LienFamille;1
684;913;;filius;LienFamille;1
686;834;;relicta;LienFamille;1
686;889;;uxor;LienFamille;1
687;911;;heres;LienFamille;1
689;707;;conjuges;LienFamille;1
690;1053;;relicta;LienFamille;1
691;974;;uxor;LienFamille;1
691;974;;relicta;LienFamille;1
693;1076;;heres;LienFamille;1
693;154;;conjuges;LienFamille;1
693;154;;heres;LienFamille;1
693;1076;;filius;LienFamille;1
693;1076;;filius;LienFamille;1
693;154;;filius;LienFamille;1
694;742;;relicta;LienFamille;1
698;113;;frater;LienFamille;1
704;247;;soror;LienFamille;1
705;715;;uxor;LienFamille;1
706;109;;frater;LienFamille;1
708;850;;uxor;LienFamille;1
709;846;;conjuges;LienFamille;1
710;719;;uxor;LienFamille;1
710;194;;uxor;LienFamille;1
711;865;;relicta;LienFamille;1
713;695;;nepos;LienFamille;1
716;1080;;sciptor penitenciers;LienProfessionel;1
717;1080;;porterius;LienProfessionel;1
719;1080;;hostiarius;LienProfessionel;1
719;719;;frater;LienFamille;1
721;869;;pater;LienFamille;1
726;997;;consobrini-germani;LienFamille;1
727;341;;frater;LienFamille;1
728;818;;conjuges;LienFamille;1
733;842;;uxor;LienFamille;1
734;747;;relicta;LienFamille;1
735;939;;uxor;LienFamille;1
740;987;;relicta;LienFamille;1
743;537;;uxor;LienFamille;1
743;537;;uxor;LienFamille;1
745;860;;uxor;LienFamille;1
745;956;;uxor;LienFamille;1
748;1054;;relicta;LienFamille;1
749;1056;;relicta;LienFamille;1
749;1056;;relicta;LienFamille;1
750;1080;;thesaurius;LienProfessionel;1
751;1039;;nepos;LienFamille;1
757;1080;;serviens armorum;LienProfessionel;1
758;852;;frater;LienFamille;1
759;1080;;serviens armorum;LienProfessionel;1
768;906;;frater;LienFamille;1
771;778;;uxor;LienFamille;1
773;795;;uxor;LienFamille;1
774;1080;;scriptor;LienProfessionel;1
776;694;;heres;LienFamille;1
777;834;;heres;LienFamille;1
779;844;;frater;LienFamille;1
783;1080;;cursor;LienProfessionel;1
785;718;;frater;LienFamille;1
